Sex,Year,Source,Target,Mortality Type,Value,Cause
Male,2003,Total,Diseases of the Circulatory System,Ischaemic heart diseases,933408.3841,
Male,2004,Total,Diseases of the Circulatory System,Ischaemic heart diseases,881508.6053,
Male,2005,Total,Diseases of the Circulatory System,Ischaemic heart diseases,846622.7688,
Male,2006,Total,Diseases of the Circulatory System,Ischaemic heart diseases,831424.7106,
Male,2007,Total,Diseases of the Circulatory System,Ischaemic heart diseases,812329.7837,
Male,2008,Total,Diseases of the Circulatory System,Ischaemic heart diseases,792259.9554,
Male,2009,Total,Diseases of the Circulatory System,Ischaemic heart diseases,816274.3279,
Male,2010,Total,Diseases of the Circulatory System,Ischaemic heart diseases,801162.8246,
Male,2011,Total,Diseases of the Circulatory System,Ischaemic heart diseases,765798.1382,
Male,2012,Total,Diseases of the Circulatory System,Ischaemic heart diseases,763677.391,
Male,2013,Total,Diseases of the Circulatory System,Ischaemic heart diseases,769656.4057,
Male,2014,Total,Diseases of the Circulatory System,Ischaemic heart diseases,756432.4758,
Male,2015,Total,Diseases of the Circulatory System,Ischaemic heart diseases,749273.8465,
Male,2016,Total,Diseases of the Circulatory System,Ischaemic heart diseases,742412.3235,
Male,2017,Total,Diseases of the Circulatory System,Ischaemic heart diseases,665120.232,
Male,2018,Total,Diseases of the Circulatory System,Ischaemic heart diseases,627963.9705,
Male,2000,Total,Cancers,Malignant neoplasms of stomach,111481.5398,Malignant neoplasms of stomach
Male,2001,Total,Cancers,Malignant neoplasms of stomach,111403.8468,Malignant neoplasms of stomach
Male,2002,Total,Cancers,Malignant neoplasms of stomach,109367.7781,Malignant neoplasms of stomach
Male,2003,Total,Cancers,Malignant neoplasms of stomach,107285.9249,Malignant neoplasms of stomach
Male,2007,Total,Cancers,Malignant neoplasms of stomach,95780.07454,Malignant neoplasms of stomach
Male,2008,Total,Cancers,Malignant neoplasms of stomach,92864.89103,Malignant neoplasms of stomach
Male,2009,Total,Cancers,Malignant neoplasms of stomach,95908.73581,Malignant neoplasms of stomach
Male,2010,Total,Cancers,Malignant neoplasms of stomach,94669.65417,Malignant neoplasms of stomach
Male,2011,Total,Cancers,Malignant neoplasms of stomach,91143.30102,Malignant neoplasms of stomach
Male,2012,Total,Cancers,Malignant neoplasms of stomach,88787.6547,Malignant neoplasms of stomach
Male,2013,Total,Cancers,Malignant neoplasms of stomach,87576.39159,Malignant neoplasms of stomach
Male,2014,Total,Cancers,Malignant neoplasms of stomach,85616.50514,Malignant neoplasms of stomach
Male,2015,Total,Cancers,Malignant neoplasms of stomach,82509.21939,Malignant neoplasms of stomach
Male,2016,Total,Cancers,Malignant neoplasms of stomach,79886.28555,Malignant neoplasms of stomach
Male,2017,Total,Cancers,Malignant neoplasms of stomach,70186.29855,Malignant neoplasms of stomach
Male,2018,Total,Cancers,Malignant neoplasms of stomach,62304.49197,Malignant neoplasms of stomach
Male,2019,Total,Cancers,Malignant neoplasms of stomach,65215.58259,Malignant neoplasms of stomach
Female,2000,Total,Other,Hodgkin’s disease,1953.173146,
Female,2001,Total,Other,Hodgkin’s disease,1892.683081,
Female,2002,Total,Other,Hodgkin’s disease,1824.464556,
Female,2003,Total,Other,Hodgkin’s disease,1862.699067,
Female,2004,Total,Other,Hodgkin’s disease,1921.856507,
Female,2005,Total,Other,Hodgkin’s disease,1880.189633,
Female,2006,Total,Other,Hodgkin’s disease,1853.344272,
Female,2007,Total,Other,Hodgkin’s disease,1893.588327,
Female,2008,Total,Other,Hodgkin’s disease,1856.462342,
Female,2009,Total,Other,Hodgkin’s disease,1917.502342,
Female,2010,Total,Other,Hodgkin’s disease,1787.406628,
Female,2011,Total,Other,Hodgkin’s disease,1753.723251,
Female,2012,Total,Other,Hodgkin’s disease,1792.277749,
Female,2013,Total,Other,Hodgkin’s disease,1791.023968,
Female,2014,Total,Other,Hodgkin’s disease,1791.701569,
Female,2015,Total,Other,Hodgkin’s disease,1638.113657,
Female,2016,Total,Other,Hodgkin’s disease,1702.239175,
Female,2017,Total,Other,Hodgkin’s disease,1599.479683,
Female,2018,Total,Other,Hodgkin’s disease,1285.322556,
Female,2019,Total,Other,Hodgkin’s disease,1346.725753,
Female,2020,Total,Other,Hodgkin’s disease,1156.423641,
Female,2021,Total,Other,Hodgkin’s disease,126.608852,
Male,2009,Total,Respiratory System,Influenza,2155.193193,
Male,2010,Total,Respiratory System,Influenza,675.06254,
Male,2011,Total,Respiratory System,Influenza,1952.345526,
Male,2012,Total,Respiratory System,Influenza,2143.847221,
Male,2013,Total,Respiratory System,Influenza,4065.617104,
Male,2014,Total,Respiratory System,Influenza,3815.202266,
Male,2015,Total,Respiratory System,Influenza,6340.837521,
Male,2016,Total,Respiratory System,Influenza,4563.514679,
Male,2019,Total,Respiratory System,Influenza,7931.002937,
Total,2000,Total,Other,Peptic ulcer,32777.07136,
Total,2001,Total,Other,Peptic ulcer,34952.62552,
Total,2002,Total,Other,Peptic ulcer,33894.23448,
Total,2003,Total,Other,Peptic ulcer,32342.95108,
Total,2004,Total,Other,Peptic ulcer,30870.15,
Total,2005,Total,Other,Peptic ulcer,28663.69414,
Total,2006,Total,Other,Peptic ulcer,28221.95635,
Total,2007,Total,Other,Peptic ulcer,26605.6358,
Total,2008,Total,Other,Peptic ulcer,25942.40817,
Total,2009,Total,Other,Peptic ulcer,25052.87757,
Total,2010,Total,Other,Peptic ulcer,24205.0466,
Total,2011,Total,Other,Peptic ulcer,23018.80442,
Total,2012,Total,Other,Peptic ulcer,22614.37739,
Total,2013,Total,Other,Peptic ulcer,22192.99266,
Total,2014,Total,Other,Peptic ulcer,21270.98811,
Total,2015,Total,Other,Peptic ulcer,21133.85398,
Total,2016,Total,Other,Peptic ulcer,21481.77224,
Total,2017,Total,Other,Peptic ulcer,20693.33137,
Total,2018,Total,Other,Peptic ulcer,19617.31758,
Total,2019,Total,Other,Peptic ulcer,20048.50722,
Total,2020,Total,Other,Peptic ulcer,19870.94186,
Female,2016,Total,Cancers,Neoplasms,911999.8013,Neoplasms
Female,2017,Total,Cancers,Neoplasms,878142.938,Neoplasms
Female,2018,Total,Cancers,Neoplasms,768656.8855,Neoplasms
Male,2017,Total,Cancers,Malignant neoplasms of liver,70959.97084,Malignant neoplasms of liver
Male,2018,Total,Cancers,Malignant neoplasms of liver,62236.35808,Malignant neoplasms of liver
Male,2019,Total,Cancers,Malignant neoplasms of liver,63370.42716,Malignant neoplasms of liver
Male,2020,Total,Cancers,Malignant neoplasms of liver,57236.88795,Malignant neoplasms of liver
Total,2000,Total,Respiratory System,Chronic obstructive pulmonary diseases,320168.704,
Total,2001,Total,Respiratory System,Chronic obstructive pulmonary diseases,338188.375,
Total,2002,Total,Respiratory System,Chronic obstructive pulmonary diseases,344653.2748,
Total,2003,Total,Respiratory System,Chronic obstructive pulmonary diseases,360088.7193,
Total,2004,Total,Respiratory System,Chronic obstructive pulmonary diseases,338530.1831,
Total,2005,Total,Respiratory System,Chronic obstructive pulmonary diseases,348316.4112,
Total,2006,Total,Respiratory System,Chronic obstructive pulmonary diseases,335276.6719,
Total,2007,Total,Respiratory System,Chronic obstructive pulmonary diseases,345073.1626,
Total,2008,Total,Respiratory System,Chronic obstructive pulmonary diseases,356505.3616,
Total,2009,Total,Respiratory System,Chronic obstructive pulmonary diseases,381242.5038,
Total,2010,Total,Respiratory System,Chronic obstructive pulmonary diseases,380060.5073,
Total,2011,Total,Respiratory System,Chronic obstructive pulmonary diseases,384189.5275,
Total,2012,Total,Respiratory System,Chronic obstructive pulmonary diseases,383397.7731,
Total,2013,Total,Respiratory System,Chronic obstructive pulmonary diseases,395025.0711,
Total,2014,Total,Respiratory System,Chronic obstructive pulmonary diseases,387438.9661,
Total,2015,Total,Respiratory System,Chronic obstructive pulmonary diseases,402810.0565,
Total,2016,Total,Respiratory System,Chronic obstructive pulmonary diseases,393818.8586,
Total,2017,Total,Respiratory System,Chronic obstructive pulmonary diseases,357279.5987,
Total,2018,Total,Respiratory System,Chronic obstructive pulmonary diseases,331059.0813,
Total,2019,Total,Respiratory System,Chronic obstructive pulmonary diseases,353539.9613,
Total,2020,Total,Respiratory System,Chronic obstructive pulmonary diseases,281065.8724,
Total,2000,Total,Other,Mental and behavioural disorders,149880.4854,
Total,2001,Total,Other,Mental and behavioural disorders,169966.173,
Total,2002,Total,Other,Mental and behavioural disorders,175145.5823,
Total,2003,Total,Other,Mental and behavioural disorders,179156.3912,
Total,2004,Total,Other,Mental and behavioural disorders,174199.1131,
Total,2005,Total,Other,Mental and behavioural disorders,182166.0044,
Total,2006,Total,Other,Mental and behavioural disorders,205855.7442,
Total,2007,Total,Other,Mental and behavioural disorders,209698.7672,
Total,2008,Total,Other,Mental and behavioural disorders,232489.2742,
Total,2009,Total,Other,Mental and behavioural disorders,237344.0017,
Total,2010,Total,Other,Mental and behavioural disorders,253860.4269,
Total,2011,Total,Other,Mental and behavioural disorders,277232.6873,
Total,2012,Total,Other,Mental and behavioural disorders,305590.4032,
Total,2013,Total,Other,Mental and behavioural disorders,321855.3475,
Total,2014,Total,Other,Mental and behavioural disorders,321465.8061,
Total,2015,Total,Other,Mental and behavioural disorders,322719.3077,
Total,2016,Total,Other,Mental and behavioural disorders,318577.8506,
Total,2017,Total,Other,Mental and behavioural disorders,328171.1468,
Total,2018,Total,Other,Mental and behavioural disorders,305957.7967,
Total,2019,Total,Other,Mental and behavioural disorders,291580.0852,
Total,2020,Total,Other,Mental and behavioural disorders,274415.0567,
Total,2021,Total,Other,Mental and behavioural disorders,26105.41866,
Total,2021,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",19036.47232,"Malignant neoplasms of colon, rectum and anus"
Female,2000,Total,Other,Mental and behavioural disorders,68068.29161,
Female,2001,Total,Other,Mental and behavioural disorders,79108.99696,
Female,2002,Total,Other,Mental and behavioural disorders,82122.93497,
Female,2003,Total,Other,Mental and behavioural disorders,84812.73385,
Female,2004,Total,Other,Mental and behavioural disorders,82262.72067,
Female,2005,Total,Other,Mental and behavioural disorders,86484.55301,
Female,2006,Total,Other,Mental and behavioural disorders,99768.39248,
Female,2007,Total,Other,Mental and behavioural disorders,102105.5617,
Female,2008,Total,Other,Mental and behavioural disorders,114486.5012,
Female,2009,Total,Other,Mental and behavioural disorders,116648.5157,
Female,2010,Total,Other,Mental and behavioural disorders,125933.2056,
Female,2011,Total,Other,Mental and behavioural disorders,139082.466,
Female,2012,Total,Other,Mental and behavioural disorders,155243.5884,
Female,2013,Total,Other,Mental and behavioural disorders,164325.4932,
Female,2014,Total,Other,Mental and behavioural disorders,163610.2766,
Female,2015,Total,Other,Mental and behavioural disorders,162601.9335,
Female,2016,Total,Other,Mental and behavioural disorders,160261.7463,
Female,2017,Total,Other,Mental and behavioural disorders,171237.4822,
Female,2018,Total,Other,Mental and behavioural disorders,155066.3276,
Female,2019,Total,Other,Mental and behavioural disorders,147006.9731,
Female,2020,Total,Other,Mental and behavioural disorders,138130.3813,
Female,2021,Total,Other,Mental and behavioural disorders,13438.50287,
Male,2000,Total,Other,Diseases of the blood and blood-forming organs,17348.44536,
Male,2001,Total,Other,Diseases of the blood and blood-forming organs,17822.08906,
Male,2002,Total,Other,Diseases of the blood and blood-forming organs,18348.72642,
Male,2003,Total,Other,Diseases of the blood and blood-forming organs,17910.72908,
Male,2004,Total,Other,Diseases of the blood and blood-forming organs,17769.04772,
Male,2005,Total,Other,Diseases of the blood and blood-forming organs,17520.49131,
Male,2006,Total,Other,Diseases of the blood and blood-forming organs,16937.51212,
Male,2007,Total,Other,Diseases of the blood and blood-forming organs,17665.17503,
Male,2008,Total,Other,Diseases of the blood and blood-forming organs,17493.47906,
Male,2009,Total,Other,Diseases of the blood and blood-forming organs,18667.54955,
Male,2010,Total,Other,Diseases of the blood and blood-forming organs,18390.04015,
Male,2011,Total,Other,Diseases of the blood and blood-forming organs,18290.58326,
Male,2012,Total,Other,Diseases of the blood and blood-forming organs,18267.69216,
Male,2013,Total,Other,Diseases of the blood and blood-forming organs,18389.05287,
Male,2014,Total,Other,Diseases of the blood and blood-forming organs,18103.75659,
Male,2015,Total,Other,Diseases of the blood and blood-forming organs,18277.83933,
Male,2016,Total,Other,Diseases of the blood and blood-forming organs,17902.60496,
Male,2017,Total,Other,Diseases of the blood and blood-forming organs,16777.64322,
Male,2018,Total,Other,Diseases of the blood and blood-forming organs,15048.22569,
Male,2019,Total,Other,Diseases of the blood and blood-forming organs,15846.27675,
Male,2020,Total,Other,Diseases of the blood and blood-forming organs,15801.07471,
Female,2016,Total,Respiratory System,Diseases of the respiratory system,376135.7139,
Female,2017,Total,Respiratory System,Diseases of the respiratory system,362511.0674,
Female,2019,Total,Respiratory System,Diseases of the respiratory system,352602.3582,
Female,2020,Total,Respiratory System,Diseases of the respiratory system,287193.5122,
Male,2004,Total,Cancers,Malignant neoplasms of stomach,102427.6091,Malignant neoplasms of stomach
Male,2005,Total,Cancers,Malignant neoplasms of stomach,97733.0041,Malignant neoplasms of stomach
Male,2006,Total,Cancers,Malignant neoplasms of stomach,96656.00469,Malignant neoplasms of stomach
Male,2020,Total,Cancers,Malignant neoplasms of stomach,55678.10027,Malignant neoplasms of stomach
Male,2000,Total,Respiratory System,Influenza,5422.333697,
Male,2001,Total,Respiratory System,Influenza,1268.399823,
Male,2002,Total,Respiratory System,Influenza,1907.949428,
Male,2003,Total,Respiratory System,Influenza,3133.449203,
Male,2004,Total,Respiratory System,Influenza,1850.750258,
Male,2005,Total,Respiratory System,Influenza,4035.545253,
Male,2006,Total,Respiratory System,Influenza,1367.137491,
Male,2007,Total,Respiratory System,Influenza,1318.499822,
Male,2008,Total,Respiratory System,Influenza,1682.212617,
Male,2017,Total,Respiratory System,Influenza,7777.908411,
Male,2018,Total,Respiratory System,Influenza,12216.8346,
Male,2020,Total,Respiratory System,Influenza,4964.321506,
Female,2017,Total,External Causes,Intentional self-harm,29010.69526,
Female,2018,Total,External Causes,Intentional self-harm,27130.99292,
Female,2019,Total,External Causes,Intentional self-harm,26762.96119,
Female,2020,Total,External Causes,Intentional self-harm,24934.68621,
Total,2018,Total,External Causes,Assault,55392.17486,
Total,2019,Total,External Causes,Assault,55665.58903,
Total,2020,Total,External Causes,Assault,59990.74993,
Female,2020,Total,Cancers,Leukemia,20566.82852,Leukemia
Male,2020,Total,Other,Diseases of the skin and subcutaneous tissue,9843.805134,
Male,2021,Total,Other,Diseases of the skin and subcutaneous tissue,990.184392,
Male,2000,Total,Other,Diseases of the genitourinary system,105642.4714,
Male,2001,Total,Other,Diseases of the genitourinary system,112493.9936,
Male,2002,Total,Other,Diseases of the genitourinary system,114039.6795,
Male,2003,Total,Other,Diseases of the genitourinary system,117389.7606,
Male,2004,Total,Other,Diseases of the genitourinary system,115149.9416,
Male,2005,Total,Other,Diseases of the genitourinary system,116338.8527,
Male,2006,Total,Other,Diseases of the genitourinary system,120347.7286,
Male,2007,Total,Other,Diseases of the genitourinary system,124157.7404,
Male,2008,Total,Other,Diseases of the genitourinary system,124409.3976,
Male,2009,Total,Other,Diseases of the genitourinary system,133081.118,
Male,2010,Total,Other,Diseases of the genitourinary system,135461.2144,
Male,2011,Total,Other,Diseases of the genitourinary system,130931.3651,
Male,2012,Total,Other,Diseases of the genitourinary system,133023.1913,
Male,2013,Total,Other,Diseases of the genitourinary system,132417.033,
Male,2014,Total,Other,Diseases of the genitourinary system,132840.3497,
Male,2015,Total,Other,Diseases of the genitourinary system,139821.6476,
Male,2016,Total,Other,Diseases of the genitourinary system,137451.9102,
Male,2017,Total,Other,Diseases of the genitourinary system,121216.4016,
Male,2018,Total,Other,Diseases of the genitourinary system,117226.5864,
Male,2019,Total,Other,Diseases of the genitourinary system,130150.5122,
Male,2020,Total,Other,Diseases of the genitourinary system,116230.1757,
Male,2018,Total,Cancers,Leukemia,38522.17767,Leukemia
Male,2019,Total,Cancers,Leukemia,39700.30007,Leukemia
Male,2020,Total,Cancers,Leukemia,34358.0118,Leukemia
Female,2000,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14028.92448,
Female,2001,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14342.89383,
Female,2002,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14565.32614,
Female,2003,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14492.51329,
Female,2004,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14028.93125,
Female,2005,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",13833.64631,
Female,2006,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",13636.30402,
Female,2007,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",13858.43519,
Female,2008,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",13783.37764,
Female,2009,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14685.32608,
Female,2010,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14824.12308,
Female,2011,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14809.65528,
Female,2012,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14839.17594,
Female,2013,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15121.67766,
Female,2014,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15533.45063,
Female,2015,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15539.52096,
Female,2016,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",16007.45841,
Female,2017,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14142.09266,
Female,2018,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",13083.1806,
Female,2019,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",13820.69499,
Female,2020,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",11226.78237,
Female,2000,Total,Total,Total,3747689.077,
Female,2001,Total,Total,Total,3913976.728,
Female,2002,Total,Total,Total,3926213.539,
Female,2003,Total,Total,Total,3975274.433,
Female,2004,Total,Total,Total,3799411.806,
Female,2005,Total,Total,Total,3775598.255,
Female,2006,Total,Total,Total,3717714.608,
Female,2007,Total,Total,Total,3729931.842,
Female,2008,Total,Total,Total,3731909.516,
Female,2009,Total,Total,Total,3858767.7,
Female,2010,Total,Total,Total,3888234.08,
Female,2011,Total,Total,Total,3816315.109,
Female,2012,Total,Total,Total,3872961.001,
Female,2013,Total,Total,Total,3887689.229,
Female,2014,Total,Total,Total,3885315.482,
Female,2015,Total,Total,Total,3925452.395,
Female,2016,Total,Total,Total,3902845.676,
Female,2017,Total,Total,Total,3745283.412,
Female,2018,Total,Total,Total,3335796.9,
Female,2019,Total,Total,Total,3477466.322,
Female,2020,Total,Total,Total,3474781.599,
Female,2000,Total,Other,Diseases of the skin and subcutaneous tissue,8873.772335,
Female,2001,Total,Other,Diseases of the skin and subcutaneous tissue,9588.158484,
Female,2002,Total,Other,Diseases of the skin and subcutaneous tissue,9721.284772,
Female,2003,Total,Other,Diseases of the skin and subcutaneous tissue,9878.390508,
Female,2004,Total,Other,Diseases of the skin and subcutaneous tissue,9739.05448,
Female,2005,Total,Other,Diseases of the skin and subcutaneous tissue,9765.497828,
Female,2006,Total,Other,Diseases of the skin and subcutaneous tissue,9910.769911,
Female,2007,Total,Other,Diseases of the skin and subcutaneous tissue,9907.275815,
Female,2008,Total,Other,Diseases of the skin and subcutaneous tissue,9754.302558,
Female,2009,Total,Other,Diseases of the skin and subcutaneous tissue,10121.59797,
Female,2010,Total,Other,Diseases of the skin and subcutaneous tissue,10000.07731,
Female,2011,Total,Other,Diseases of the skin and subcutaneous tissue,9752.022591,
Female,2012,Total,Other,Diseases of the skin and subcutaneous tissue,9865.50213,
Female,2013,Total,Other,Diseases of the skin and subcutaneous tissue,9944.39939,
Female,2014,Total,Other,Diseases of the skin and subcutaneous tissue,11085.73467,
Female,2015,Total,Other,Diseases of the skin and subcutaneous tissue,11346.75471,
Female,2018,Total,Other,Diseases of the skin and subcutaneous tissue,11319.10829,
Male,2000,Total,Other,Chronic liver diseases and cirrhosis,113602.026,
Male,2001,Total,Other,Chronic liver diseases and cirrhosis,115235.2899,
Male,2002,Total,Other,Chronic liver diseases and cirrhosis,114721.9866,
Male,2003,Total,Other,Chronic liver diseases and cirrhosis,114540.0646,
Male,2004,Total,Other,Chronic liver diseases and cirrhosis,109729.3641,
Male,2005,Total,Other,Chronic liver diseases and cirrhosis,107462.2785,
Male,2006,Total,Other,Chronic liver diseases and cirrhosis,106109.695,
Male,2007,Total,Other,Chronic liver diseases and cirrhosis,107485.392,
Male,2008,Total,Other,Chronic liver diseases and cirrhosis,107483.791,
Male,2009,Total,Other,Chronic liver diseases and cirrhosis,105785.1605,
Male,2010,Total,Other,Chronic liver diseases and cirrhosis,104582.7998,
Male,2011,Total,Other,Chronic liver diseases and cirrhosis,100745.0604,
Male,2012,Total,Other,Chronic liver diseases and cirrhosis,101528.0294,
Male,2013,Total,Other,Chronic liver diseases and cirrhosis,100804.5899,
Male,2014,Total,Other,Chronic liver diseases and cirrhosis,99403.67588,
Male,2015,Total,Other,Chronic liver diseases and cirrhosis,99146.47908,
Male,2016,Total,Other,Chronic liver diseases and cirrhosis,103741.5122,
Male,2017,Total,Other,Chronic liver diseases and cirrhosis,100674.0703,
Male,2018,Total,Other,Chronic liver diseases and cirrhosis,95254.49679,
Male,2019,Total,Other,Chronic liver diseases and cirrhosis,96310.14114,
Male,2020,Total,Other,Chronic liver diseases and cirrhosis,97060.1448,
Male,2019,Total,Other,Certain infectious and parasitic diseases,94787.60157,
Male,2020,Total,Other,Certain infectious and parasitic diseases,80499.61618,
Total,2019,Total,Cancers,Malignant neoplasms of liver,89428.25262,Malignant neoplasms of liver
Total,2020,Total,Cancers,Malignant neoplasms of liver,81238.10485,Malignant neoplasms of liver
Total,2000,Total,Cognitive Disorders,Dementia,104366.9333,
Total,2001,Total,Cognitive Disorders,Dementia,124561.8094,
Total,2002,Total,Cognitive Disorders,Dementia,130315.249,
Total,2003,Total,Cognitive Disorders,Dementia,134001.0501,
Total,2004,Total,Cognitive Disorders,Dementia,129833.364,
Total,2005,Total,Cognitive Disorders,Dementia,137603.5113,
Total,2006,Total,Cognitive Disorders,Dementia,164165.3901,
Total,2007,Total,Cognitive Disorders,Dementia,170281.7683,
Total,2008,Total,Cognitive Disorders,Dementia,192756.7284,
Total,2009,Total,Cognitive Disorders,Dementia,198515.9608,
Total,2010,Total,Cognitive Disorders,Dementia,214598.5258,
Total,2011,Total,Cognitive Disorders,Dementia,239244.9314,
Total,2012,Total,Cognitive Disorders,Dementia,266958.72,
Total,2013,Total,Cognitive Disorders,Dementia,282446.1006,
Total,2014,Total,Cognitive Disorders,Dementia,280506.502,
Total,2015,Total,Cognitive Disorders,Dementia,279487.0464,
Total,2016,Total,Cognitive Disorders,Dementia,274255.0291,
Total,2017,Total,Cognitive Disorders,Dementia,284127.0458,
Total,2018,Total,Cognitive Disorders,Dementia,266904.8334,
Total,2019,Total,Cognitive Disorders,Dementia,253094.2465,
Total,2020,Total,Cognitive Disorders,Dementia,232246.1077,
Total,2000,Total,External Causes,Accidental poisoning,20562.66057,
Total,2001,Total,External Causes,Accidental poisoning,22673.574,
Total,2002,Total,External Causes,Accidental poisoning,24373.11515,
Total,2003,Total,External Causes,Accidental poisoning,26176.39158,
Total,2004,Total,External Causes,Accidental poisoning,27513.90456,
Total,2005,Total,External Causes,Accidental poisoning,30255.06479,
Total,2006,Total,External Causes,Accidental poisoning,36007.03658,
Total,2007,Total,External Causes,Accidental poisoning,37379.13763,
Total,2008,Total,External Causes,Accidental poisoning,39014.3969,
Total,2009,Total,External Causes,Accidental poisoning,40323.34299,
Total,2010,Total,External Causes,Accidental poisoning,40800.24653,
Total,2011,Total,External Causes,Accidental poisoning,44296.6648,
Total,2012,Total,External Causes,Accidental poisoning,44690.67431,
Total,2013,Total,External Causes,Accidental poisoning,47166.61909,
Total,2014,Total,External Causes,Accidental poisoning,51017.16308,
Total,2015,Total,External Causes,Accidental poisoning,55238.31434,
Total,2016,Total,External Causes,Accidental poisoning,66250.18051,
Total,2017,Total,External Causes,Accidental poisoning,71999.58509,
Female,2020,Total,Cancers,Neoplasms,690044.7934,Neoplasms
Female,2000,Total,Other,Diseases of the digestive system,158869.5813,
Female,2001,Total,Other,Diseases of the digestive system,169017.3935,
Female,2002,Total,Other,Diseases of the digestive system,170431.1137,
Female,2003,Total,Other,Diseases of the digestive system,171245.4909,
Female,2004,Total,Other,Diseases of the digestive system,167363.5406,
Female,2005,Total,Other,Diseases of the digestive system,166458.7516,
Female,2006,Total,Other,Diseases of the digestive system,166506.4695,
Female,2007,Total,Other,Diseases of the digestive system,167913.6491,
Female,2008,Total,Other,Diseases of the digestive system,168817.2266,
Female,2009,Total,Other,Diseases of the digestive system,170990.6098,
Female,2010,Total,Other,Diseases of the digestive system,172372.7454,
Female,2011,Total,Other,Diseases of the digestive system,167984.573,
Female,2012,Total,Other,Diseases of the digestive system,169509.1443,
Female,2013,Total,Other,Diseases of the digestive system,168967.93,
Female,2014,Total,Other,Diseases of the digestive system,168316.0063,
Female,2015,Total,Other,Diseases of the digestive system,170015.7952,
Female,2016,Total,Other,Diseases of the digestive system,171250.604,
Female,2017,Total,Other,Diseases of the digestive system,167328.3102,
Female,2018,Total,Other,Diseases of the digestive system,152833.1444,
Total,2021,Total,Other,Diseases of the skin and subcutaneous tissue,2085.085588,
Male,2020,Total,Other,Codes for special purposes: COVID-19,561543.8484,
Female,2005,Total,Cognitive Disorders,Dementia,74433.29984,
Female,2021,Total,External Causes,Intentional self-harm,1985.581228,
Male,2021,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",12658.42503,"Malignant neoplasms of colon, rectum and anus"
Male,2000,Total,Other,Diseases of the circulatory system,2022002.543,
Male,2001,Total,Other,Diseases of the circulatory system,2092784.271,
Male,2002,Total,Other,Diseases of the circulatory system,2067398.472,
Male,2003,Total,Other,Diseases of the circulatory system,2051508.756,
Male,2004,Total,Other,Diseases of the circulatory system,1926395.957,
Male,2005,Total,Other,Diseases of the circulatory system,1852679.998,
Male,2006,Total,Other,Diseases of the circulatory system,1817913.734,
Male,2007,Total,Other,Diseases of the circulatory system,1801610.447,
Male,2008,Total,Other,Diseases of the circulatory system,1759103.412,
Male,2009,Total,Other,Diseases of the circulatory system,1838367.192,
Male,2010,Total,Other,Diseases of the circulatory system,1809309.551,
Male,2011,Total,Other,Diseases of the circulatory system,1734760.296,
Male,2012,Total,Other,Diseases of the circulatory system,1743590.474,
Male,2013,Total,Other,Diseases of the circulatory system,1743676.377,
Male,2014,Total,Other,Diseases of the circulatory system,1717051.162,
Male,2015,Total,Other,Diseases of the circulatory system,1727139.651,
Male,2016,Total,Other,Diseases of the circulatory system,1691276.712,
Male,2017,Total,Other,Diseases of the circulatory system,1508748.08,
Male,2018,Total,Other,Diseases of the circulatory system,1399365.584,
Male,2019,Total,Other,Diseases of the circulatory system,1473842.639,
Male,2020,Total,Other,Diseases of the circulatory system,1381918.799,
Male,2015,Total,Cancers,Malignant neoplasms of prostate,144486.5337,Malignant neoplasms of prostate
Total,2000,Total,Cognitive Disorders,Alzheimer's disease,85556.51768,
Total,2001,Total,Cognitive Disorders,Alzheimer's disease,97399.28385,
Total,2002,Total,Cognitive Disorders,Alzheimer's disease,107395.9374,
Total,2003,Total,Cognitive Disorders,Alzheimer's disease,121798.3064,
Total,2004,Total,Cognitive Disorders,Alzheimer's disease,120672.3471,
Total,2005,Total,Cognitive Disorders,Alzheimer's disease,126651.6175,
Total,2006,Total,Cognitive Disorders,Alzheimer's disease,130227.4652,
Total,2007,Total,Cognitive Disorders,Alzheimer's disease,138041.0054,
Total,2008,Total,Cognitive Disorders,Alzheimer's disease,146787.5449,
Total,2009,Total,Cognitive Disorders,Alzheimer's disease,154286.0178,
